Question,Generated Answer,Top 3 Retrieved Sources (Hybrid)
How do I determine if I pass the Substantial Presence Test for 2025?,"To determine if you meet the Substantial Presence Test for 2025, you must meet two conditions:

1.  **Presence in 2025:** You must have been physically present in the United States for at least 31 days during 2025.
2.  **Presence over a 3-Year Period:** You must have been physically present in the United States for at least 183 days during the 3-year period of 2025, 2024, and 2023. The calculation for this is as follows:
    *   Count all the days of physical presence in 2025.
    *   Count 1/3 of the number of days of physical presence in 2024.
    *   Count 1/6 of the number of days of physical presence in 2023.

Generally, you are considered present in the United States on any day you are physically present in the country at any time during that day. However, there are exceptions to this rule, such as days commuting from Canada or Mexico, days in transit for less than 24 hours, days as a regular crew member of a foreign vessel, days unable to leave due to a medical condition, days under a NATO visa (for the principal individual, not dependents), and days as an exempt individual. You may need to file Form 8843 to exclude certain days if you meet specific criteria related to medical conditions or being an exempt individual.","[1] 8843 (score: 0.0164): You won’t be penalized if you can show by clear and convincing evidence that you took reasonable act...
[2] 8843 (score: 0.0161): b Enter the number of days in 2025 you claim you can exclude for purposes of the substantial presenc...
[3] 1040nr_instr (score: 0.0159): Also,  see USCIS.gov/i-407. Substantial Presence Test Y ou are considered a U.S. resident if  you me..."
Does an F-1 student's time count toward the Substantial Presence Test during their first 5 years in the US?,"No, an F-1 student's time does not count toward the Substantial Presence Test during their first 5 years in the US, provided they are an ""exempt individual.""","[1] 1040nr_instr (score: 0.0164): Also,  see USCIS.gov/i-407. Substantial Presence Test Y ou are considered a U.S. resident if  you me...
[2] 8843 (score: 0.0161): You won’t be penalized if you can show by clear and convincing evidence that you took reasonable act...
[3] 8843 (score: 0.0159): considered a U.S. resident under the substantial presence test...."
"What is Form 8843 used for, and do I need to file it even if I had no US income?","Form 8843 is used by alien individuals to explain the basis of their claim that they can exclude days of presence in the United States.

You must file Form 8843 if you are an alien individual (other than a foreign government-related individual) and you are claiming to exclude days of presence in the United States. This requirement applies even if you had no U.S. income.

If you do not have to file a return, you should send Form 8843 to:
Department of the Treasury
Internal Revenue Service Center
Austin, TX 73301-0215

You must file Form 8843 by the due date for filing Form 1040-NR. If you are required to file Form 8843 and do not file it on time, you may not be able to exclude days you were present in the United States as a professional athlete or due to a medical condition that arose while you were in the U.S., unless you can show by clear and convincing evidence that you took reasonable actions to become aware of the filing requirements and significant steps to comply.","[1] pub519 (score: 0.0164): If you  do not have to file a return, send Form 8843 to the follow- ing address. Department of the T...
[2] 8843 (score: 0.0161): If you don’t have to file a 2025 tax return, mail Form 8843 to...
[3] 8843 (score: 0.0159): Section references are to the Internal Revenue Code unless otherwise specified. Future Developments ..."
I received a scholarship from my university that covers room and board. Is this portion of the scholarship taxable?,"Yes, the portion of your scholarship used to pay for room and board is taxable. Qualified education expenses that can be excluded from income are limited to tuition and fees, and course-related expenses like books, supplies, and equipment that are required for your courses.","[1] pub519 (score: 0.0164): Page 25 of 95  Fileid: … cation-519/2025/a/xml/cycle06/source 10:04 - 19-Feb-2026 The type and rule ...
[2] pub519 (score: 0.0161): trade or business, they are taxed ac- cording to the same rules and at the  same rates that apply to...
[3] 1040nr_instr (score: 0.0159): 970. Note: Under some treaties,  scholarship or fellowship grant income  isn’t exempt from tax if th..."
Are F-1 international students subject to Social Security and Medicare (FICA) taxes on on-campus employment?,"F-1 international students are generally exempt from Social Security and Medicare taxes on pay for services performed for their school, as long as they are enrolled and regularly attending classes. This exemption applies to on-campus work, which includes work performed on the school's premises or at an off-campus location that is educationally affiliated with the school. This also extends to on-campus work performed under the terms of a scholarship, fellowship, or assistantship, as it is considered part of the student's academic program.

However, this exemption does not apply if the student is considered a resident alien.","[1] pub519 (score: 0.0164): See Self-Employment T ax, later. Students and Exchange Visitors Generally, services performed by you...
[2] pub519 (score: 0.0161): Page 63 of 95  Fileid: … cation-519/2025/a/xml/cycle06/source 10:04 - 19-Feb-2026 The type and rule ...
[3] 1040nr_instr (score: 0.0159): citi- zens and former U.S. long-term  residents. If you renounced your  U.S. citizenship or terminat..."
How do I claim a tax treaty benefit for my fellowship stipend under Article 20?,"To claim a tax treaty benefit for your fellowship stipend under Article 20, you generally need to notify the payer of the income (the withholding agent) of your foreign status. This is typically done by filing either Form W-8BEN or Form 8233 with the withholding agent.

*   **Form W-8BEN** is generally used for income that is not personal services income.
*   **Form 8233** is used for personal services income. However, there's a specific note: ""Form 8233 can be used when you are claiming an exemption for scholarship or fellowship income (that is not compensation) only if you are also claiming a treaty withholding exemption for personal services income. Otherwise, you must use Form W-8BEN.""

If you qualify for an exemption under a tax treaty but did not submit Form 8233 to your withholding agent to claim an exemption from withholding, you can still get the benefit of the exemption by filing Form 1040-NR. You would follow the instructions for line 1a of Form 1040-NR.

When completing your tax return (Form 1040-NR), you will need to enter the name of the country, the applicable tax treaty article (Article 20 in your case), the number of months in prior years you claimed the treaty benefit, and the amount of exempt income in the current tax year. You may need to attach Form 8833 if required.","[1] 1040nr_instr (score: 0.0164): 970. Note: Under some treaties,  scholarship or fellowship grant income  isn’t exempt from tax if th...
[2] 1040nr_oi (score: 0.0161): No No No  1. Enter the name of the country, the applicable tax treaty article, the number of months ...
[3] pub519 (score: 0.0159): For more information, go to IRS.gov/FormW4. Income Entitled to Tax Treaty  Benefits If a tax treaty ..."
Where do I report my wages from my W-2 on Form 1040-NR?,"You should report your wages from Form W-2, Box 1 on line 1a of Form 1040-NR. However, only include wages that are effectively connected with a U.S. trade or business. Do not include income on line 1a that is not treated as effectively connected to a U.S. trade or business.

If you claim that wages are exempt from U.S. tax under an income tax treaty, you should not report them on line 1a. Instead, include these amounts on line 1k and complete item L of Schedule OI (Form 1040-NR).","[1] 1040nr_instr (score: 0.032): connected with a U.S. trade or  business. Only U.S. source income is  included on line 1a as effecti...
[2] 1040nr_instr (score: 0.032): 519. Line 1a Total Amount From Form(s) W-2,  Box 1 See Line 1a—T otal Amount From  Form(s) W-2, Box ...
[3] 1040nr_instr (score: 0.0306): Page 19 of 54  Fileid: … rm-1040-nr/2025/a/xml/cycle08/source 13:59 - 29-Jan-2026 The type and rule ..."
"I traded stocks on Robinhood and made a capital gain of $500. Since I am an F-1 student present in the US for 183 days, what tax rate applies to my capital gains?","If you were in the United States for 183 days or more during the tax year, your net gain from sales or exchanges of capital assets is taxed at a 30% (or lower treaty) rate. For purposes of this rate, net gain is the excess of your capital gains from U.S. sources over your capital losses from U.S. sources. This rule applies even if any of the transactions occurred while you were not in the United States.","[1] pub519 (score: 0.0164): See Income From Real  Property, later. 183-day rule. If you were in the United States for 183  days ...
[2] pub519 (score: 0.0161): sources. This rule  applies even if any of the transactions occurred while you  were not in the Unit...
[3] pub519 (score: 0.0159): brokerage  company. Are the dividends and  the capital gains taxable? If yes,  how are they taxed? T..."
Can I claim the standard deduction as a nonresident alien on Form 1040-NR?,"As a nonresident alien, you generally cannot claim the standard deduction on Form 1040-NR. However, there is a special rule for students and business apprentices from India who are eligible for the benefits of Article 21(2) of the United States-India Income Tax Treaty. These individuals can claim the standard deduction, provided they do not claim itemized deductions. If you are married and your spouse files a return and itemizes deductions, you cannot take the standard deduction.","[1] pub519 (score: 0.0313): trade or business, they are taxed ac- cording to the same rules and at the  same rates that apply to...
[2] pub519 (score: 0.0313): Residents of South Korea. A nonresident alien who is a  resident of South Korea (other than an emplo...
[3] pub519 (score: 0.0164): Go to  IRS.gov/Efile for more information. Nonresident Aliens Nonresident aliens who are required to..."
"Who must sign and file Form 1040-NR, and what is the deadline if I received W-2 wages?","You must file Form 1040-NR if any of the following conditions apply to you:

1.  You were a nonresident alien engaged in a trade or business in the United States during 2025. This applies even if you have no income from a trade or business in the U.S., no U.S. source income, or your income is exempt from U.S. tax under a tax treaty or Internal Revenue Code section. However, if you have no gross income for 2025, you do not need to complete the schedules for Form 1040-NR other than Schedule OI (Form 1040-NR). Instead, attach a list of the kinds of exclusions you claim and the amount of each.
2.  You were a nonresident alien not engaged in a trade or business in the United States during 2025 and you received income from U.S. sources that is reportable on Schedule NEC, lines 1 through 12, and not all of the U.S. tax that you owe was withheld from that income.
3.  You owe any special taxes, including:
    *   Alternative minimum tax.
    *   Additional tax on a qualified plan, including an IRA, or other tax-favored account. (If you are filing a return only because you owe this tax, you can file Form 5329 by itself.)
    *   Household employment taxes. (If you are filing a return only because you owe these taxes, you can file Schedule H (Form 1040) by itself.)
    *   Social security and Medicare tax on tips you did not report to your employer or on wages you received from an employer who did not withhold these taxes.
    *   Write-in taxes or recapture taxes, including uncollected social security and Medicare or RRTA tax on tips you reported to your employer or on group-term life insurance and additional taxes on health savings accounts (HSAs).
4.  You received HSA, Archer Medical Savings Account (MSA), or Medicare Advantage MSA distributions.

If you are an employee and you receive wages subject to U.S. income tax withholding, you must generally file Form 1040-NR by the 15th day of the 4th month after your tax year ends. If you file for the 2025 calendar year, your return is due April 15, 2026.","[1] pub519 (score: 0.0164): company. What return do I file? Y ou must file Form 1040-NR if you are  engaged in a trade or busine...
[2] 1040nr_instr (score: 0.0161): See Missing or Incorrect Form W-2? in the Instructions for Form 1040 if  you’re missing a Form W-2 o...
[3] 1040nr_instr (score: 0.0159): Page 8 of 54  Fileid: … rm-1040-nr/2025/a/xml/cycle08/source 13:59 - 29-Jan-2026 The type and rule a..."
